"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company",,"Customer Contact Services Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company",,"Hub Services Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Infrastructure Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Processing Services Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Programme Office","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Business Development","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Central Document Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Core Processing/EU","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Finance Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Infrastructure Support","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Internal Communications","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Legal & Compliance","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Operations Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Procurement","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Policy","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","External Affairs","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Customer Insight","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Customer Support Centre - Wales","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","DSA","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Executive Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Financial Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Infrastructure Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Internal Audit","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Organisational Development & Learning","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","People & Transformation Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Pre-Assessment","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Risk Management","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Stakeholder Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Strategic Development Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Facilities","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","External Reporting","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Practitioner's Support","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","FE Services - Hillington","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Accounting Systems","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Complaints Resolution","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Customer Support Centre - Darlington","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Fraud Management","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Human Resources Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Online Services","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Change Management","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Change Management Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Customer Support Centre - Glasgow","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","ICR Operations Department","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Information Security & Assurance","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Information, Advice & Guidance (IAG)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Infrastructure Oracle Technology","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Management Reporting & Efficiency","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Operations Directorate","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Repayment Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Systems Development Division","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Data Services & Analysis","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Collections","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/student-loans-company","Student Loans Company","Organization","Workforce Management Dpt","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
